"Brand","Store Number","Name","Ownership Type","Facility ID","Features - Products","Features - Service","Features - Stations","Food Region","Venue Type","Phone Number","Location","Street Address","Street Line 1","Street Line 2","City","State","Zip","Country","Coordinates","Latitude","Longitude","Insert Date","gross_profit"
"Starbucks",7658,"Chelmsford","Company Owned",15024,"Clover Crafted Small Batch Coffee, Lunch, Oven-warmed Food, Reserve Amenity, Sirena Espresso Machine","Starbucks Card Mobile, Wireless Hotspot",NA,9999,"Unknown","978-458-2464","101 Drum Hill Road
Chelmsford, MA 01824-1519
(42.623739, -71.36431)","101 Drum Hill Road","101 Drum Hill Road",NA,"Chelmsford","MA","01824-1519","US","(42.623739, -71.36431)",42.623739,-71.36431,"06/22/2012 06:17:10 PM",8483
"Starbucks",833,"Peabody","Company Owned",15876,"Lunch, Oven-warmed Food, Reserve Amenity, Sirena Espresso Machine","Starbucks Card Mobile, Wireless Hotspot",NA,9999,"Unknown","978-531-8224","240 Andover Street
Peabody, MA 01960-1536
(42.545939, -70.946655)","240 Andover Street","240 Andover Street",NA,"Peabody","MA","01960-1536","US","(42.545939, -70.946655)",42.545939,-70.946655,"06/22/2012 06:17:10 PM",8990
"Starbucks",2765,"North Shore Mall","Company Owned",13843,"Lunch, Oven-warmed Food","Starbucks Card Mobile, Wireless Hotspot",NA,9999,"Unknown","978-531-1331","210 Andover Street, Space W 133
Peabody, MA 01960-1673
(42.54524, -70.94468)","210 Andover Street, Space W 133","210 Andover Street, Space W 133",NA,"Peabody","MA","01960-1673","US","(42.54524, -70.94468)",42.54524,-70.94468,"06/22/2012 06:17:10 PM",9778
"Starbucks",11757,"Wilmington Crossing","Company Owned",10569,"Lunch, Oven-warmed Food","Starbucks Card Mobile, Wireless Hotspot","Drive-Through",9999,"Unknown","978-658-2541","271 Main St., Space #253
Wilmington, MA 01887-2321
(42.555543, -71.181095)","271 Main St., Space #253","271 Main St.","Space #253","Wilmington","MA","01887-2321","US","(42.555543, -71.181095)",42.555543,-71.181095,"06/22/2012 06:17:10 PM",9714
"Starbucks",8650,"Billerica","Company Owned",9728,"Lunch, Oven-warmed Food","Starbucks Card Mobile, Wireless Hotspot","Drive-Through",9999,"Unknown","978-436-9180","199 Boston Road, Unit 15
Billerica, MA 01862-2328
(42.581632, -71.289347)","199 Boston Road, Unit 15","199 Boston Road","Unit 15","Billerica","MA","01862-2328","US","(42.581632, -71.289347)",42.581632,-71.289347,"06/22/2012 06:17:10 PM",8764
"Starbucks",9269,"Reading Walkers Brook","Company Owned",9565,"Lunch, Oven-warmed Food, Reserve Amenity, Sirena Espresso Machine","Starbucks Card Mobile, Wireless Hotspot",NA,9999,"Unknown","781-942-8290","24 Walkers Brook Drive
Reading, MA 01867-3224
(42.519991, -71.093858)","24 Walkers Brook Drive","24 Walkers Brook Drive",NA,"Reading","MA","01867-3224","US","(42.519991, -71.093858)",42.519991,-71.093858,"06/22/2012 06:17:10 PM",7001
"Starbucks",7356,"Salem-Dodge Street","Company Owned",15999,"Lunch, Oven-warmed Food, Reserve Amenity","Starbucks Card Mobile, Wireless Hotspot",NA,9999,"Unknown","978-825-0824","211 Washington Street
Salem, MA 01970-3607
(42.518951, -70.894874)","211 Washington Street","211 Washington Street",NA,"Salem","MA","01970-3607","US","(42.518951, -70.894874)",42.518951,-70.894874,"06/22/2012 06:17:10 PM",6533
"Starbucks",7772,"Reading","Company Owned",11531,"Lunch, Oven-warmed Food","Starbucks Card Mobile, Wireless Hotspot",NA,9999,"Unknown","781-942-0168","288 Main Street
Reading, MA 01867-3610
(42.515659, -71.104029)","288 Main Street","288 Main Street",NA,"Reading","MA","01867-3610","US","(42.515659, -71.104029)",42.515659,-71.104029,"06/22/2012 06:17:10 PM",5181
"Starbucks",15489,"Target Woburn T-1266","Licensed",65856,NA,NA,NA,0,"Unknown","781-904-0002","101 Commerce Way
Woburn, MA 01801-1007
(42.518122, -71.135588)","101 Commerce Way","101 Commerce Way",NA,"Woburn","MA","01801-1007","US","(42.518122, -71.135588)",42.518122,-71.135588,"06/22/2012 06:17:10 PM",1793
"Starbucks",9984,"Woburn, Commerce Way","Company Owned",14595,"Lunch, Oven-warmed Food, Reserve Amenity","Starbucks Card Mobile, Wireless Hotspot","Drive-Through",9999,"Unknown","781-933-4672","99 Commerce Way
Woburn, MA 01801-5199
(42.517323483467, -71.135712417913)","99 Commerce Way","99 Commerce Way",NA,"Woburn","MA","01801-5199","US","(42.517323483467, -71.135712417913)",42.517323483467,-71.135712417913,"06/22/2012 06:17:10 PM",6076
"Starbucks",7812,"Woburn, West Cummings Park","Company Owned",15300,"Lunch, Oven-warmed Food, Sirena Espresso Machine","Starbucks Card Mobile, Wireless Hotspot",NA,9999,"Unknown","781-938-9305","200 W Cummings Park, 1
Woburn, MA 01801-6333
(42.49818, -71.125908)","200 W Cummings Park, 1","200 W Cummings Park","1","Woburn","MA","01801-6333","US","(42.49818, -71.125908)",42.49818,-71.125908,"06/22/2012 06:17:10 PM",8015
"Starbucks",7522,"Marblehead","Company Owned",14955,"Lunch, Oven-warmed Food, Reserve Amenity","Starbucks Card Mobile, Wireless Hotspot",NA,9999,"Unknown","781-639-0368","89 Pleasant Street
Marblehead, MA 01945-3389
(42.502632, -70.856048)","89 Pleasant Street","89 Pleasant Street",NA,"Marblehead","MA","01945-3389","US","(42.502632, -70.856048)",42.502632,-70.856048,"06/22/2012 06:17:10 PM",3679
"Starbucks",13978,"Saugus, The Shops at Saugus","Company Owned",7694,"Lunch, Oven-warmed Food","Starbucks Card Mobile","Drive-Through",9999,"Unknown","781-231-4928","366 B Broadway
Saugus, MA 01906-1902
(42.488115938014, -71.0194)","366 B Broadway","366 B Broadway",NA,"Saugus","MA","01906-1902","US","(42.488115938014, -71.0194)",42.488115938014,-71.0194,"06/22/2012 06:17:10 PM",6655
"Starbucks",802,"Swampscot","Company Owned",13568,"Lunch, Oven-warmed Food, Reserve Amenity, Sirena Espresso Machine","Starbucks Card Mobile, Wireless Hotspot",NA,9999,"Unknown","781-581-9001","1016 Paradise Road
Swampscott, MA 01907-1352
(42.484973, -70.901011)","1016 Paradise Road","1016 Paradise Road",NA,"Swampscott","MA","01907-1352","US","(42.484973, -70.901011)",42.484973,-70.901011,"06/22/2012 06:17:10 PM",9419
"Starbucks",7269,"Saugus","Company Owned",12092,"Clover Crafted Small Batch Coffee, Lunch, Oven-warmed Food, Reserve Amenity","Starbucks Card Mobile, Wireless Hotspot",NA,9999,"Unknown","781-233-4173","723 Broadway
Saugus, MA 01906-3207
(42.478313, -71.023173)","723 Broadway","723 Broadway",NA,"Saugus","MA","01906-3207","US","(42.478313, -71.023173)",42.478313,-71.023173,"06/22/2012 06:17:10 PM",3965
"Starbucks",9913,"Westford Valley Marketplace","Company Owned",14566,"Lunch, Oven-warmed Food, Reserve Amenity","Starbucks Card Mobile, Wireless Hotspot",NA,9999,"Unknown","978-392-5926","174 Littleton Road
Westford, MA 01886-3191
(42.566563, -71.421995)","174 Littleton Road","174 Littleton Road",NA,"Westford","MA","01886-3191","US","(42.566563, -71.421995)",42.566563,-71.421995,"06/22/2012 06:17:10 PM",4033
"Starbucks",7279,"Marketplace at Burlington","Company Owned",16728,"Clover Crafted Small Batch Coffee, Lunch, Oven-warmed Food, Reserve Amenity, Sirena Espresso Machine","Starbucks Card Mobile, Wireless Hotspot",NA,9999,"Unknown","781-273-6544","84 Burlington Mall Road, Suite D
Burlington, MA 01803-4538
(42.48755, -71.20229)","84 Burlington Mall Road, Suite D","84 Burlington Mall Road","Suite D","Burlington","MA","01803-4538","US","(42.48755, -71.20229)",42.48755,-71.20229,"06/22/2012 06:17:10 PM",7679
"Starbucks",10598,"Bedford, Great Road","Company Owned",7317,"Lunch, Oven-warmed Food, Reserve Amenity, Sirena Espresso Machine","Starbucks Card Mobile, Wireless Hotspot",NA,9999,"Unknown","781-275-0992","186 Great Road
Bedford, MA 01730-2710
(42.489622, -71.27235)","186 Great Road","186 Great Road",NA,"Bedford","MA","01730-2710","US","(42.489622, -71.27235)",42.489622,-71.27235,"06/22/2012 06:17:10 PM",6331
"Starbucks",7258,"Melrose Center","Company Owned",12038,"Lunch, Oven-warmed Food, Reserve Amenity","Starbucks Card Mobile, Wireless Hotspot",NA,9999,"Unknown","781-662-0217","521 Main Street
Melrose, MA 02176-3835
(42.455468, -71.064841)","521 Main Street","521 Main Street",NA,"Melrose","MA","02176-3835","US","(42.455468, -71.064841)",42.455468,-71.064841,"06/22/2012 06:17:10 PM",7612
"Starbucks",876,"Winchester","Company Owned",11748,"Lunch, Oven-warmed Food, Reserve Amenity","Starbucks Card Mobile, Wireless Hotspot",NA,9999,"Unknown","781-729-1626","542 Main Street
Winchester, MA 01890-2913
(42.45203, -71.136821)","542 Main Street","542 Main Street",NA,"Winchester","MA","01890-2913","US","(42.45203, -71.136821)",42.45203,-71.136821,"06/22/2012 06:17:10 PM",9862
"Starbucks",7553,"Lexington/Bedford Rd","Company Owned",13534,"Clover Crafted Small Batch Coffee, Lunch, Oven-warmed Food, Reserve Amenity, Sirena Espresso Machine","Starbucks Card Mobile, Wireless Hotspot",NA,9999,"Unknown","781-863-1189","60 Bedford Street
Lexington, MA 02420-4334
(42.453613, -71.233316)","60 Bedford Street","60 Bedford Street",NA,"Lexington","MA","02420-4334","US","(42.453613, -71.233316)",42.453613,-71.233316,"06/22/2012 06:17:10 PM",5965
"Starbucks",866,"Lexington","Company Owned",13573,"Lunch, Oven-warmed Food","Starbucks Card Mobile, Wireless Hotspot",NA,9999,"Unknown","781-863-8485","1729 Massachusetts Ave
Lexington, MA 02420-5306
(42.4475, -71.226705)","1729 Massachusetts Ave","1729 Massachusetts Ave",NA,"Lexington","MA","02420-5306","US","(42.4475, -71.226705)",42.4475,-71.226705,"06/22/2012 06:17:10 PM",5521
"Starbucks",7283,"Medford - Star Market","Company Owned",17646,"Lunch, Oven-warmed Food, Reserve Amenity","Starbucks Card Mobile, Wireless Hotspot",NA,9999,"Unknown","781-396-3630","2151 Mystic Valley Parkway
Medford, MA 02155-3757
(42.417173, -71.126646)","2151 Mystic Valley Parkway","2151 Mystic Valley Parkway",NA,"Medford","MA","02155-3757","US","(42.417173, -71.126646)",42.417173,-71.126646,"06/22/2012 06:17:10 PM",3301
"Starbucks",7364,"Mass. Ave., Arlington","Company Owned",13499,"Lunch, Oven-warmed Food, Reserve Amenity","Starbucks Card Mobile, Wireless Hotspot",NA,9999,"Unknown","781-646-9366","1465 Massachusetts Ave
Arlington, MA 02476-4103
(42.425296, -71.188507)","1465 Massachusetts Ave","1465 Massachusetts Ave",NA,"Arlington","MA","02476-4103","US","(42.425296, -71.188507)",42.425296,-71.188507,"06/22/2012 06:17:10 PM",1064
"Starbucks",7205,"Arlington","Company Owned",16694,"Lunch, Oven-warmed Food, Reserve Amenity","Starbucks Card Mobile, Wireless Hotspot",NA,9999,"Unknown","781-641-2893","327 Broadway
Arlington, MA 02474-5303
(42.414751, -71.15099)","327 Broadway","327 Broadway",NA,"Arlington","MA","02474-5303","US","(42.414751, -71.15099)",42.414751,-71.15099,"06/22/2012 06:17:10 PM",4717
"Starbucks",8988,"Station Landing","Company Owned",7158,"Clover Crafted Small Batch Coffee, Lunch, Oven-warmed Food, Reserve Amenity","Starbucks Card Mobile, Wireless Hotspot",NA,9999,"Unknown","781-395-0660","5 Revere Beach Pkwy., Station Landing Phase 1
Medford, MA 02155-5159
(42.404329, -71.081279)","5 Revere Beach Pkwy., Station Landing Phase 1","5 Revere Beach Pkwy.","Station Landing Phase 1","Medford","MA","02155-5159","US","(42.404329, -71.081279)",42.404329,-71.081279,"06/22/2012 06:17:10 PM",2740
"Starbucks",76315,"Target Revere T-1942","Licensed",14668,NA,"Starbucks Card Mobile",NA,9999,"Unknown","781-922-6030","36 Furlong Dr
Revere, MA 02151-4006
(42.400825, -71.001876)","36 Furlong Dr","36 Furlong Dr",NA,"Revere","MA","02151-4006","US","(42.400825, -71.001876)",42.400825,-71.001876,"06/22/2012 06:17:10 PM",8912
"Starbucks",816,"Concord","Company Owned",11750,"Clover Crafted Small Batch Coffee, Lunch, Reserve Amenity","Starbucks Card Mobile, Wireless Hotspot",NA,9999,"Unknown","978-287-0183","159 Sudbury Road
Concord, MA 01742-3429
(42.455669, -71.355854)","159 Sudbury Road","159 Sudbury Road",NA,"Concord","MA","01742-3429","US","(42.455669, -71.355854)",42.455669,-71.355854,"06/22/2012 06:17:10 PM",2065
"Starbucks",15208,"Target Everett T-1229","Licensed",20298,NA,NA,NA,0,"Unknown","617-420-0000","1 Mystic View Rd
Everett, MA 02149-2428
(42.401847, -71.069932)","1 Mystic View Rd","1 Mystic View Rd",NA,"Everett","MA","02149-2428","US","(42.401847, -71.069932)",42.401847,-71.069932,"06/22/2012 06:17:10 PM",9246
"Starbucks",14138,"East Boston","Company Owned",7561,"Lunch, Oven-warmed Food","Starbucks Card Mobile, Wireless Hotspot","Drive-Through",9999,"Unknown","617-561-3704","430 McClellan Highway
East Boston, MA 02128-1144
(42.393203, -71.012803)","430 McClellan Highway","430 McClellan Highway",NA,"East Boston","MA","02128-1144","US","(42.393203, -71.012803)",42.393203,-71.012803,"06/22/2012 06:17:10 PM",1827
"Starbucks",78032,"BOS Term B AA Pre-Security","Licensed",11021,NA,NA,NA,9999,"Airport","617-634-6097","440 McClellan Highway
Boston, MA 02128-1125
(42.393095, -71.013054)","440 McClellan Highway","440 McClellan Highway",NA,"Boston","MA","02128-1125","US","(42.393095, -71.013054)",42.393095,-71.013054,"06/22/2012 06:17:10 PM",2425
"Starbucks",7502,"Davis Square Plaza","Company Owned",14934,"Clover Crafted Small Batch Coffee, Lunch, Oven-warmed Food, Reserve Amenity, Sirena Espresso Machine","Starbucks Card Mobile, Wireless Hotspot",NA,9999,"Unknown","617-623-4497","260 Elm Street
Somerville, MA 02144-2951
(42.395759, -71.122297)","260 Elm Street","260 Elm Street",NA,"Somerville","MA","02144-2951","US","(42.395759, -71.122297)",42.395759,-71.122297,"06/22/2012 06:17:10 PM",7362
"Starbucks",871,"Belmont","Company Owned",12022,"Lunch, Oven-warmed Food, Reserve Amenity","Starbucks Card Mobile, Wireless Hotspot",NA,9999,"Unknown","617-484-3213","47 Leonard St.
Belmont, MA 02478-2526
(42.397256, -71.175393)","47 Leonard St.","47 Leonard St.",NA,"Belmont","MA","02478-2526","US","(42.397256, -71.175393)",42.397256,-71.175393,"06/22/2012 06:17:10 PM",8023
"Starbucks",7835,"Acton, Kelly's Corner","Company Owned",15302,"Lunch, Oven-warmed Food, Reserve Amenity, Sirena Espresso Machine","Starbucks Card Mobile, Wireless Hotspot",NA,9999,"Unknown","978-264-1992","411 Massachusettes Ave
Acton, MA 01720-3739
(42.47491, -71.451609)","411 Massachusettes Ave","411 Massachusettes Ave",NA,"Acton","MA","01720-3739","US","(42.47491, -71.451609)",42.47491,-71.451609,"06/22/2012 06:17:10 PM",2370
"Starbucks",8873,"Cambridge, Fresh Pond","Company Owned",14891,"Lunch, Oven-warmed Food, Reserve Amenity","Starbucks Card Mobile, Wireless Hotspot",NA,9999,"Unknown","617-876-1070","222 Alewife Brook Parkway
Cambridge, MA 02138
(42.389322, -71.141328)","222 Alewife Brook Parkway","222 Alewife Brook Parkway",NA,"Cambridge","MA","02138","US","(42.389322, -71.141328)",42.389322,-71.141328,"06/22/2012 06:17:10 PM",1647
"Starbucks",2764,"Somerville Avenue","Company Owned",13954,"Lunch, Oven-warmed Food, Reserve Amenity","Starbucks Card Mobile, Wireless Hotspot",NA,9999,"Unknown","617-776-6783","711-723 Somerville Ave
Somerville, MA 02143-3530
(42.386083, -71.114181)","711-723 Somerville Ave","711-723 Somerville Ave",NA,"Somerville","MA","02143-3530","US","(42.386083, -71.114181)",42.386083,-71.114181,"06/22/2012 06:17:10 PM",2226
"Starbucks",827,"Shepard Post","Company Owned",12254,"Lunch, Oven-warmed Food, Reserve Amenity","Starbucks Card Mobile, Wireless Hotspot",NA,9999,"Unknown","617-491-0442","1662 Massachusetts Ave
Cambridge, MA 02138-1838
(42.381903, -71.119934)","1662 Massachusetts Ave","1662 Massachusetts Ave",NA,"Cambridge","MA","02138-1838","US","(42.381903, -71.119934)",42.381903,-71.119934,"06/22/2012 06:17:10 PM",5014
"Starbucks",16917,"Target Somerville T-1441","Licensed",87154,NA,NA,NA,0,"Unknown","617-766-4036","180 Somerville Ave
Somerville, MA 02143-3405
(42.377651, -71.090108)","180 Somerville Ave","180 Somerville Ave",NA,"Somerville","MA","02143-3405","US","(42.377651, -71.090108)",42.377651,-71.090108,"06/22/2012 06:17:10 PM",6241
"Starbucks",75650,"BOS - Terminal E - Food Court","Licensed",7157,NA,NA,NA,9999,"Airport","617-634-6097","Boston Logan Term E Food Court
East Boston, MA 02128
(42.370131, -71.019672)","Boston Logan Term E Food Court","Boston Logan Term E Food Court",NA,"East Boston","MA","02128","US","(42.370131, -71.019672)",42.370131,-71.019672,"06/22/2012 06:17:10 PM",4068
"Starbucks",810,"Broadway Marketplace","Company Owned",12268,"Lunch, Oven-warmed Food","Starbucks Card Mobile, Wireless Hotspot",NA,9999,"Unknown","617-491-9911","468 Broadway
Cambridge, MA 02138-3908
(42.373886, -71.11295)","468 Broadway","468 Broadway",NA,"Cambridge","MA","02138-3908","US","(42.373886, -71.11295)",42.373886,-71.11295,"06/22/2012 06:17:10 PM",1301
"Starbucks",7241,"31 Church","Company Owned",12074,"Lunch, Oven-warmed Food, Reserve Amenity","Starbucks Card Mobile, Wireless Hotspot",NA,9999,"Unknown","617-492-7870","31 Church Street
Cambridge, MA 02138-3715
(42.374494, -71.12017)","31 Church Street","31 Church Street",NA,"Cambridge","MA","02138-3715","US","(42.374494, -71.12017)",42.374494,-71.12017,"06/22/2012 06:17:10 PM",2474
"Starbucks",7538,"Belmont/Cushing Sq","Company Owned",13530,"Clover Crafted Small Batch Coffee, Lunch, Oven-warmed Food, Reserve Amenity","Starbucks Card Mobile, Wireless Hotspot",NA,9999,"Unknown","617-489-8767","112 Trapelo Rd
Belmont, MA 02478-1877
(42.380603, -71.175129)","112 Trapelo Rd","112 Trapelo Rd",NA,"Belmont","MA","02478-1877","US","(42.380603, -71.175129)",42.380603,-71.175129,"06/22/2012 06:17:10 PM",8173
"Starbucks",7102,"Harvard Yard","Company Owned",20221,"Clover Crafted Small Batch Coffee, Lunch, Oven-warmed Food, Reserve Amenity","Wireless Hotspot",NA,0,"Unknown","617-354-3726","1380 Mass Ave
Cambridge, MA 02138
(42.373456, -71.119328)","1380 Mass Ave","1380 Mass Ave",NA,"Cambridge","MA","02138","US","(42.373456, -71.119328)",42.373456,-71.119328,"06/22/2012 06:17:10 PM",5589
"Starbucks",861,"Harvard Square","Company Owned",13572,"Clover Crafted Small Batch Coffee, Lunch, Oven-warmed Food, Reserve Amenity","Starbucks Card Mobile, Wireless Hotspot",NA,9999,"Unknown","617-492-4881","36 JFK Street
Cambridge, MA 02138-4910
(42.372485, -71.119452)","36 JFK Street","36 JFK Street",NA,"Cambridge","MA","02138-4910","US","(42.372485, -71.119452)",42.372485,-71.119452,"06/22/2012 06:17:10 PM",2951
"Starbucks",75840,"BOS Boston/Logan Airport Term C","Licensed",8151,NA,NA,NA,9999,"Airport","617-594-3506","Logan Airport terminal C
Boston, MA 02128
(42.366954, -71.016337)","Logan Airport terminal C","Logan Airport terminal C",NA,"Boston","MA","02128","US","(42.366954, -71.016337)",42.366954,-71.016337,"06/22/2012 06:17:10 PM",7541
"Starbucks",16158,"BOS Terminal C Pier B","Licensed",87272,NA,NA,NA,0,"Unknown","617-634-6031","300 Terminal C Gate C11
East Boston, MA 02128
(42.366954, -71.016337)","300 Terminal C Gate C11","300 Terminal C Gate C11",NA,"East Boston","MA","02128","US","(42.366954, -71.016337)",42.366954,-71.016337,"06/22/2012 06:17:10 PM",5061
"Starbucks",7436,"Cambridgeside","Company Owned",16661,"Lunch, Oven-warmed Food","Starbucks Card Mobile, Wireless Hotspot",NA,9999,"Unknown","617-621-9507","100 Cambridgeside Place, Suite E108
Cambridge, MA 02141-2218
(42.367158, -71.076366)","100 Cambridgeside Place, Suite E108","100 Cambridgeside Place","Suite E108","Cambridge","MA","02141-2218","US","(42.367158, -71.076366)",42.367158,-71.076366,"06/22/2012 06:17:10 PM",4180
"Starbucks",75808,"BOS - Terminal A Delta","Licensed",16015,NA,NA,NA,9999,"Airport",NA,"Boston Logan International Airport
East Boston, MA 02128
(42.364545, -71.021569)","Boston Logan International Airport","Boston Logan International Airport",NA,"East Boston","MA","02128","US","(42.364545, -71.021569)",42.364545,-71.021569,"06/22/2012 06:17:10 PM",7549
"Starbucks",7550,"Two Atlantic Avenue","Company Owned",9315,"Clover Crafted Small Batch Coffee, Lunch, Oven-warmed Food, Reserve Amenity, Sirena Espresso Machine","Starbucks Card Mobile, Wireless Hotspot",NA,9999,"Unknown","617-723-7819","2 Atlantic Avenue
Boston, MA 02110-3918
(42.36392, -71.050292)","2 Atlantic Avenue","2 Atlantic Avenue",NA,"Boston","MA","02110-3918","US","(42.36392, -71.050292)",42.36392,-71.050292,"06/22/2012 06:17:10 PM",2028
"Starbucks",72417,"BOS - Terminal B - Gates 1-3","Licensed",13172,NA,NA,NA,9999,"Airport",NA,"Boston Logan International Airport, Terminal A
East Boston, MA 02128
(42.362659757894, -71.017868742511)","Boston Logan International Airport, Terminal A","Boston Logan International Airport","Terminal A","East Boston","MA","02128","US","(42.362659757894, -71.017868742511)",42.362659757894,-71.017868742511,"06/22/2012 06:17:10 PM",6651
"Starbucks",75534,"BOS - Gate 25","Licensed",12994,NA,NA,NA,9999,"Airport","617-938-4567","Gate 25
East Boston, MA 02128
(42.362417974617, -71.018339108392)","Gate 25","Gate 25",NA,"East Boston","MA","02128","US","(42.362417974617, -71.018339108392)",42.362417974617,-71.018339108392,"06/22/2012 06:17:10 PM",1535
"Starbucks",7338,"Central Square","Company Owned",16078,"Lunch, Oven-warmed Food, Reserve Amenity","Starbucks Card Mobile, Wireless Hotspot",NA,9999,"Unknown","617-354-5471","655 Massachussets Ave
Cambridge, MA 02139-3336
(42.365661, -71.103707)","655 Massachussets Ave","655 Massachussets Ave",NA,"Cambridge","MA","02139-3336","US","(42.365661, -71.103707)",42.365661,-71.103707,"06/22/2012 06:17:10 PM",5603
"Starbucks",75649,"BOS - Terminal B - Pier B","Licensed",14288,NA,NA,NA,9999,"Airport","617-634-6097","Boston Logan Term B Pier A-Tampopo
East Boston, MA 02128
(42.36205, -71.019871)","Boston Logan Term B Pier A-Tampopo","Boston Logan Term B Pier A-Tampopo",NA,"East Boston","MA","02128","US","(42.36205, -71.019871)",42.36205,-71.019871,"06/22/2012 06:17:10 PM",3254
