permco,year,company,industry,roa,csrsustainabilityreportingscore,csrsustainabilityexternalauditor
7902,2018,MONSTER BEVERAGE CORP NEW; MONSTER BEVERAGE CORP; HANSEN NATURAL CORP; UNIPAC CORP; CONTINENTAL VENTURES INC; FIRST STOP PROFESSIONAL SVCS,Manufacturing,,,0
8598,2013,FISERV INC,Services,,,0
8598,2014,FISERV INC,Services,,,0
8598,2015,FISERV INC,Services,,,0
8598,2016,FISERV INC,Services,,,0
8598,2017,FISERV INC,Services,,,0
8598,2018,FISERV INC,Services,,,0
8598,2019,FISERV INC,Services,,,0
8598,2020,FISERV INC,Services,,,0
9245,2013,CADENCE DESIGN SYSTEMS INC; ECAD INC,Services,,,0
9245,2014,CADENCE DESIGN SYSTEMS INC; ECAD INC,Services,,,0
9245,2015,CADENCE DESIGN SYSTEMS INC; ECAD INC,Services,,,0
9360,2013,FAIR ISAAC CORP; FAIR ISAAC & CO INC,Services,,,0
9360,2014,FAIR ISAAC CORP; FAIR ISAAC & CO INC,Services,,,0
9360,2015,FAIR ISAAC CORP; FAIR ISAAC & CO INC,Services,,,0
9360,2016,FAIR ISAAC CORP; FAIR ISAAC & CO INC,Services,,,0
9360,2017,FAIR ISAAC CORP; FAIR ISAAC & CO INC,Services,,,0
9360,2018,FAIR ISAAC CORP; FAIR ISAAC & CO INC,Services,,,0
9440,2013,FASTENAL CO,Wholesale Trade,,,0
9440,2014,FASTENAL CO,Wholesale Trade,,,0
9440,2015,FASTENAL CO,Wholesale Trade,,,0
9440,2016,FASTENAL CO,Wholesale Trade,,,0
9440,2017,FASTENAL CO,Wholesale Trade,,,0
9440,2018,FASTENAL CO,Wholesale Trade,,,0
54812,2013,PAYCOM SOFTWARE INC,Services,,,0
54907,2013,ARISTA NETWORKS INC,Manufacturing,,,0
54931,2013,CATALENT INC,Manufacturing,,,0
54931,2014,CATALENT INC,Manufacturing,,,0
54936,2013,SYNCHRONY FINANCIAL,"Finance, Insurance, And Real Estate",,,0
55000,2013,CAESARS ENTERTAINMENT INC DE; ELDORADO RESORTS INC,Services,,,0
55006,2013,CITIZENS FINANCIAL GROUP INC,"Finance, Insurance, And Real Estate",,,0
55033,2013,KEYSIGHT TECHNOLOGIES INC,Manufacturing,,,0
55033,2014,KEYSIGHT TECHNOLOGIES INC,Manufacturing,,,0
55229,2013,ETSY INC,Services,,,0
55229,2014,ETSY INC,Services,,,0
55296,2013,KRAFT HEINZ CO,Manufacturing,,,0
55296,2014,KRAFT HEINZ CO,Manufacturing,,,0
55341,2013,PAYPAL HOLDINGS INC,Services,,,0
55341,2014,PAYPAL HOLDINGS INC,Services,,,0
55421,2013,HEWLETT PACKARD ENTERPRISE CO,Manufacturing,,,0
55421,2014,HEWLETT PACKARD ENTERPRISE CO,Manufacturing,,,0
55585,2013,FORTIVE CORP,Manufacturing,,,0
55585,2014,FORTIVE CORP,Manufacturing,,,0
55585,2015,FORTIVE CORP,Manufacturing,,,0
55778,2013,LAMB WESTON HOLDINGS INC,Manufacturing,,,0
55778,2014,LAMB WESTON HOLDINGS INC,Manufacturing,,,0
55778,2015,LAMB WESTON HOLDINGS INC,Manufacturing,,,0
55858,2013,INVITATION HOMES INC,"Finance, Insurance, And Real Estate",,,0
55858,2014,INVITATION HOMES INC,"Finance, Insurance, And Real Estate",,,0
55858,2015,INVITATION HOMES INC,"Finance, Insurance, And Real Estate",,,0
55858,2016,INVITATION HOMES INC,"Finance, Insurance, And Real Estate",,,0
55928,2013,INGERSOLL RAND INC; GARDNER DENVER HOLDINGS INC,Manufacturing,,,0
55928,2014,INGERSOLL RAND INC; GARDNER DENVER HOLDINGS INC,Manufacturing,,,0
55928,2015,INGERSOLL RAND INC; GARDNER DENVER HOLDINGS INC,Manufacturing,,,0
55928,2016,INGERSOLL RAND INC; GARDNER DENVER HOLDINGS INC,Manufacturing,,,0
56027,2013,DUPONT DE NEMOURS INC; DOWDUPONT INC,Manufacturing,,,0
56027,2014,DUPONT DE NEMOURS INC; DOWDUPONT INC,Manufacturing,,,0
56027,2015,DUPONT DE NEMOURS INC; DOWDUPONT INC,Manufacturing,,,0
56027,2016,DUPONT DE NEMOURS INC; DOWDUPONT INC,Manufacturing,,,0
56259,2013,VICI PROPERTIES INC,"Finance, Insurance, And Real Estate",,,0
56259,2014,VICI PROPERTIES INC,"Finance, Insurance, And Real Estate",,,0
56259,2015,VICI PROPERTIES INC,"Finance, Insurance, And Real Estate",,,0
56259,2016,VICI PROPERTIES INC,"Finance, Insurance, And Real Estate",,,0
56259,2017,VICI PROPERTIES INC,"Finance, Insurance, And Real Estate",,,0
56345,2013,CERIDIAN H C M HOLDING INC,Services,,,0
56345,2014,CERIDIAN H C M HOLDING INC,Services,,,0
56345,2015,CERIDIAN H C M HOLDING INC,Services,,,0
56345,2016,CERIDIAN H C M HOLDING INC,Services,,,0
56345,2017,CERIDIAN H C M HOLDING INC,Services,,,0
56345,2018,CERIDIAN H C M HOLDING INC,Services,,,0
56345,2019,CERIDIAN H C M HOLDING INC,Services,,,0
56611,2013,MODERNA INC,Manufacturing,,,0
56611,2014,MODERNA INC,Manufacturing,,,0
56611,2015,MODERNA INC,Manufacturing,,,0
56611,2016,MODERNA INC,Manufacturing,,,0
56611,2017,MODERNA INC,Manufacturing,,,0
56668,2013,DOW INC,Manufacturing,,,0
56668,2014,DOW INC,Manufacturing,,,0
56668,2015,DOW INC,Manufacturing,,,0
56668,2016,DOW INC,Manufacturing,,,0
56668,2017,DOW INC,Manufacturing,,,0
56668,2018,DOW INC,Manufacturing,,,0
56719,2013,UBER TECHNOLOGIES INC,"Transportation, Communications, Electric, Gas, And Sanitary Services",,,0
56719,2014,UBER TECHNOLOGIES INC,"Transportation, Communications, Electric, Gas, And Sanitary Services",,,0
56719,2015,UBER TECHNOLOGIES INC,"Transportation, Communications, Electric, Gas, And Sanitary Services",,,0
56719,2016,UBER TECHNOLOGIES INC,"Transportation, Communications, Electric, Gas, And Sanitary Services",,,0
56719,2017,UBER TECHNOLOGIES INC,"Transportation, Communications, Electric, Gas, And Sanitary Services",,,0
56719,2018,UBER TECHNOLOGIES INC,"Transportation, Communications, Electric, Gas, And Sanitary Services",,,0
56723,2013,CORTEVA INC,"Agriculture, Forestry, And Fishing",,,0
56723,2014,CORTEVA INC,"Agriculture, Forestry, And Fishing",,,0
56723,2015,CORTEVA INC,"Agriculture, Forestry, And Fishing",,,0
56723,2016,CORTEVA INC,"Agriculture, Forestry, And Fishing",,,0
56723,2017,CORTEVA INC,"Agriculture, Forestry, And Fishing",,,0
56723,2018,CORTEVA INC,"Agriculture, Forestry, And Fishing",,,0
57036,2013,CARRIER GLOBAL CORP,Manufacturing,,,0
57036,2014,CARRIER GLOBAL CORP,Manufacturing,,,0
57036,2015,CARRIER GLOBAL CORP,Manufacturing,,,0
57036,2016,CARRIER GLOBAL CORP,Manufacturing,,,0
57036,2017,CARRIER GLOBAL CORP,Manufacturing,,,0
57036,2018,CARRIER GLOBAL CORP,Manufacturing,,,0
57036,2019,CARRIER GLOBAL CORP,Manufacturing,,,0
57037,2013,OTIS WORLDWIDE CORP,Manufacturing,,,0
57037,2014,OTIS WORLDWIDE CORP,Manufacturing,,,0
57037,2015,OTIS WORLDWIDE CORP,Manufacturing,,,0
57037,2016,OTIS WORLDWIDE CORP,Manufacturing,,,0
57037,2017,OTIS WORLDWIDE CORP,Manufacturing,,,0
57037,2018,OTIS WORLDWIDE CORP,Manufacturing,,,0
57037,2019,OTIS WORLDWIDE CORP,Manufacturing,,,0
57529,2013,VIATRIS INC,Manufacturing,,,0
57529,2016,VIATRIS INC,Manufacturing,,,0
57529,2017,VIATRIS INC,Manufacturing,,,0
57529,2018,VIATRIS INC,Manufacturing,,,0
57529,2019,VIATRIS INC,Manufacturing,,,0
57588,2013,AIRBNB INC,Services,,,0
57588,2014,AIRBNB INC,Services,,,0
57588,2015,AIRBNB INC,Services,,,0
57588,2016,AIRBNB INC,Services,,,0
57588,2017,AIRBNB INC,Services,,,0
57588,2018,AIRBNB INC,Services,,,0
57588,2019,AIRBNB INC,Services,,,0
57588,2020,AIRBNB INC,Services,,,0
59247,2013,WARNER BROS DISCOVERY INC,"Transportation, Communications, Electric, Gas, And Sanitary Services",,,0
59247,2014,WARNER BROS DISCOVERY INC,"Transportation, Communications, Electric, Gas, And Sanitary Services",,,0
59247,2015,WARNER BROS DISCOVERY INC,"Transportation, Communications, Electric, Gas, And Sanitary Services",,,0
59247,2016,WARNER BROS DISCOVERY INC,"Transportation, Communications, Electric, Gas, And Sanitary Services",,,0
59247,2017,WARNER BROS DISCOVERY INC,"Transportation, Communications, Electric, Gas, And Sanitary Services",,,0
59247,2018,WARNER BROS DISCOVERY INC,"Transportation, Communications, Electric, Gas, And Sanitary Services",,,0
59247,2019,WARNER BROS DISCOVERY INC,"Transportation, Communications, Electric, Gas, And Sanitary Services",,,0
59247,2020,WARNER BROS DISCOVERY INC,"Transportation, Communications, Electric, Gas, And Sanitary Services",,,0
59247,2021,WARNER BROS DISCOVERY INC,"Transportation, Communications, Electric, Gas, And Sanitary Services",,,0
59247,2022,WARNER BROS DISCOVERY INC,"Transportation, Communications, Electric, Gas, And Sanitary Services",,,0
92,2022,AFLAC INC; AMERICAN FAMILY CORP,"Finance, Insurance, And Real Estate",,0.764269726,0
655,2022,BIO RAD LABORATORIES INC,Manufacturing,,0.764269726,0
5780,2022,COOPER COMPANIES INC; COOPERVISION INC,Manufacturing,,0.764269726,0
7267,2022,UNITEDHEALTH GROUP INC; UNITED HEALTHCARE CORP,"Finance, Insurance, And Real Estate",,0.764269726,1
7684,2022,ROSS STORES INC,Retail Trade,,0.764269726,0
7864,2022,HENRY JACK & ASSOC INC,Services,,0.764269726,0
7902,2022,MONSTER BEVERAGE CORP NEW; MONSTER BEVERAGE CORP; HANSEN NATURAL CORP; UNIPAC CORP; CONTINENTAL VENTURES INC; FIRST STOP PROFESSIONAL SVCS,Manufacturing,,0.764269726,0
9360,2022,FAIR ISAAC CORP; FAIR ISAAC & CO INC,Services,,0.764269726,0
9804,2022,WASTE MANAGEMENT INC DEL; U S A WASTE SERVICES INC,"Transportation, Communications, Electric, Gas, And Sanitary Services",,0.764269726,1
56345,2022,CERIDIAN H C M HOLDING INC,Services,,0.764269726,1
57529,2022,VIATRIS INC,Manufacturing,,0.764269726,0
57588,2022,AIRBNB INC,Services,,0.764269726,1
92,2021,AFLAC INC; AMERICAN FAMILY CORP,"Finance, Insurance, And Real Estate",,0.781484691,0
655,2021,BIO RAD LABORATORIES INC,Manufacturing,,0.781484691,0
5780,2021,COOPER COMPANIES INC; COOPERVISION INC,Manufacturing,,0.781484691,0
7267,2021,UNITEDHEALTH GROUP INC; UNITED HEALTHCARE CORP,"Finance, Insurance, And Real Estate",,0.781484691,1
7684,2021,ROSS STORES INC,Retail Trade,,0.781484691,0
7864,2021,HENRY JACK & ASSOC INC,Services,,0.781484691,0
7902,2021,MONSTER BEVERAGE CORP NEW; MONSTER BEVERAGE CORP; HANSEN NATURAL CORP; UNIPAC CORP; CONTINENTAL VENTURES INC; FIRST STOP PROFESSIONAL SVCS,Manufacturing,,0.781484691,0
8598,2021,FISERV INC,Services,,0.781484691,0
9360,2021,FAIR ISAAC CORP; FAIR ISAAC & CO INC,Services,,0.781484691,0
9804,2021,WASTE MANAGEMENT INC DEL; U S A WASTE SERVICES INC,"Transportation, Communications, Electric, Gas, And Sanitary Services",,0.781484691,0
56345,2021,CERIDIAN H C M HOLDING INC,Services,,0.781484691,1
57529,2021,VIATRIS INC,Manufacturing,,0.781484691,0
57588,2021,AIRBNB INC,Services,,0.781484691,0
92,2014,AFLAC INC; AMERICAN FAMILY CORP,"Finance, Insurance, And Real Estate",,0.791197544,1
7684,2014,ROSS STORES INC,Retail Trade,,0.791197544,0
9424,2014,DENTSPLY SIRONA INC; DENTSPLY INTERNATIONAL INC NEW; GENDEX CORP,Manufacturing,,0.791197544,0
57529,2014,VIATRIS INC,Manufacturing,,0.791197544,0
92,2013,AFLAC INC; AMERICAN FAMILY CORP,"Finance, Insurance, And Real Estate",,0.79396728,1
912,2013,CINCINNATI FINANCIAL CORP,"Finance, Insurance, And Real Estate",,0.79396728,0
7094,2013,GALLAGHER ARTHUR J & CO,"Finance, Insurance, And Real Estate",,0.79396728,0
7684,2013,ROSS STORES INC,Retail Trade,,0.79396728,0
9424,2013,DENTSPLY SIRONA INC; DENTSPLY INTERNATIONAL INC NEW; GENDEX CORP,Manufacturing,,0.79396728,0
92,2020,AFLAC INC; AMERICAN FAMILY CORP,"Finance, Insurance, And Real Estate",,0.817467513,0
655,2020,BIO RAD LABORATORIES INC,Manufacturing,,0.817467513,0
6262,2020,CARDINAL HEALTH INC; CARDINAL DISTRIBUTION INC,Wholesale Trade,,0.817467513,1
6333,2020,PAYCHEX INC,Services,,0.817467513,0
7267,2020,UNITEDHEALTH GROUP INC; UNITED HEALTHCARE CORP,"Finance, Insurance, And Real Estate",,0.817467513,1
7684,2020,ROSS STORES INC,Retail Trade,,0.817467513,0
7902,2020,MONSTER BEVERAGE CORP NEW; MONSTER BEVERAGE CORP; HANSEN NATURAL CORP; UNIPAC CORP; CONTINENTAL VENTURES INC; FIRST STOP PROFESSIONAL SVCS,Manufacturing,,0.817467513,0
9360,2020,FAIR ISAAC CORP; FAIR ISAAC & CO INC,Services,,0.817467513,0
9804,2020,WASTE MANAGEMENT INC DEL; U S A WASTE SERVICES INC,"Transportation, Communications, Electric, Gas, And Sanitary Services",,0.817467513,1
56345,2020,CERIDIAN H C M HOLDING INC,Services,,0.817467513,0
57529,2020,VIATRIS INC,Manufacturing,,0.817467513,0
92,2019,AFLAC INC; AMERICAN FAMILY CORP,"Finance, Insurance, And Real Estate",,0.850636943,0
6262,2019,CARDINAL HEALTH INC; CARDINAL DISTRIBUTION INC,Wholesale Trade,,0.850636943,1
7267,2019,UNITEDHEALTH GROUP INC; UNITED HEALTHCARE CORP,"Finance, Insurance, And Real Estate",,0.850636943,1
7684,2019,ROSS STORES INC,Retail Trade,,0.850636943,0
7902,2019,MONSTER BEVERAGE CORP NEW; MONSTER BEVERAGE CORP; HANSEN NATURAL CORP; UNIPAC CORP; CONTINENTAL VENTURES INC; FIRST STOP PROFESSIONAL SVCS,Manufacturing,,0.850636943,0
9360,2019,FAIR ISAAC CORP; FAIR ISAAC & CO INC,Services,,0.850636943,0
9424,2019,DENTSPLY SIRONA INC; DENTSPLY INTERNATIONAL INC NEW; GENDEX CORP,Manufacturing,,0.850636943,0
9804,2019,WASTE MANAGEMENT INC DEL; U S A WASTE SERVICES INC,"Transportation, Communications, Electric, Gas, And Sanitary Services",,0.850636943,1
92,2015,AFLAC INC; AMERICAN FAMILY CORP,"Finance, Insurance, And Real Estate",,0.861708666,1
6262,2015,CARDINAL HEALTH INC; CARDINAL DISTRIBUTION INC,Wholesale Trade,,0.861708666,0
7684,2015,ROSS STORES INC,Retail Trade,,0.861708666,0
9424,2015,DENTSPLY SIRONA INC; DENTSPLY INTERNATIONAL INC NEW; GENDEX CORP,Manufacturing,,0.861708666,0
57529,2015,VIATRIS INC,Manufacturing,,0.861708666,0
92,2018,AFLAC INC; AMERICAN FAMILY CORP,"Finance, Insurance, And Real Estate",,0.890536488,0
6262,2018,CARDINAL HEALTH INC; CARDINAL DISTRIBUTION INC,Wholesale Trade,,0.890536488,1
6748,2018,ATMOS ENERGY CORP; ENERGAS CO,"Transportation, Communications, Electric, Gas, And Sanitary Services",,0.890536488,0
7267,2018,UNITEDHEALTH GROUP INC; UNITED HEALTHCARE CORP,"Finance, Insurance, And Real Estate",,0.890536488,1
7684,2018,ROSS STORES INC,Retail Trade,,0.890536488,0
9424,2018,DENTSPLY SIRONA INC; DENTSPLY INTERNATIONAL INC NEW; GENDEX CORP,Manufacturing,,0.890536488,0
90,2016,AMERICAN EXPRESS CO,"Finance, Insurance, And Real Estate",,0.896529563,1
92,2016,AFLAC INC; AMERICAN FAMILY CORP,"Finance, Insurance, And Real Estate",,0.896529563,1
6262,2016,CARDINAL HEALTH INC; CARDINAL DISTRIBUTION INC,Wholesale Trade,,0.896529563,0
7684,2016,ROSS STORES INC,Retail Trade,,0.896529563,0
9424,2016,DENTSPLY SIRONA INC; DENTSPLY INTERNATIONAL INC NEW; GENDEX CORP,Manufacturing,,0.896529563,0
92,2017,AFLAC INC; AMERICAN FAMILY CORP,"Finance, Insurance, And Real Estate",,0.907998627,1
6262,2017,CARDINAL HEALTH INC; CARDINAL DISTRIBUTION INC,Wholesale Trade,,0.907998627,1
7267,2017,UNITEDHEALTH GROUP INC; UNITED HEALTHCARE CORP,"Finance, Insurance, And Real Estate",,0.907998627,0
7684,2017,ROSS STORES INC,Retail Trade,,0.907998627,0
9424,2017,DENTSPLY SIRONA INC; DENTSPLY INTERNATIONAL INC NEW; GENDEX CORP,Manufacturing,,0.907998627,0
54026,2013,ENPHASE ENERGY INC,Manufacturing,-0.222106986,,0
46559,2013,DEXCOM INC,Manufacturing,-0.243265306,,0
41562,2013,AXON ENTERPRISE INC; TASER INTERNATIONAL INC,Manufacturing,0.122952919,,0
54026,2014,ENPHASE ENERGY INC,Manufacturing,-0.052906854,,0
54026,2016,ENPHASE ENERGY INC,Manufacturing,-0.412419915,,0
54026,2015,ENPHASE ENERGY INC,Manufacturing,-0.133403412,,0
46559,2014,DEXCOM INC,Manufacturing,-0.121343445,,0
41562,2014,AXON ENTERPRISE INC; TASER INTERNATIONAL INC,Manufacturing,0.107451124,,0
41562,2015,AXON ENTERPRISE INC; TASER INTERNATIONAL INC,Manufacturing,0.08671008,,0
52301,2015,INSULET CORP,Manufacturing,-0.267223018,,0
41562,2016,AXON ENTERPRISE INC; TASER INTERNATIONAL INC,Manufacturing,0.062182965,,0
52301,2013,INSULET CORP,Manufacturing,-0.156184126,,0
46559,2015,DEXCOM INC,Manufacturing,-0.197260274,,0
52301,2014,INSULET CORP,Manufacturing,-0.170441759,,0
41562,2017,AXON ENTERPRISE INC; TASER INTERNATIONAL INC,Manufacturing,0.015400222,,0
45878,2013,MARKETAXESS HLDGS INC,"Finance, Insurance, And Real Estate",0.216213756,,0
45879,2013,MONOLITHIC PWR SYS INC,Manufacturing,0.062069676,,0
45878,2014,MARKETAXESS HLDGS INC,"Finance, Insurance, And Real Estate",0.196918007,,0
53447,2014,C B O E GLOBAL MARKETS INC; C B O E HOLDINGS INC,"Finance, Insurance, And Real Estate",0.494174279,,0
53447,2015,C B O E GLOBAL MARKETS INC; C B O E HOLDINGS INC,"Finance, Insurance, And Real Estate",0.53282067,,0
45879,2014,MONOLITHIC PWR SYS INC,Manufacturing,0.088878372,,0
46559,2016,DEXCOM INC,Manufacturing,-0.16285998,,0
45879,2015,MONOLITHIC PWR SYS INC,Manufacturing,0.081551642,,0
53983,2013,EPAM SYSTEMS INC,Services,0.143213892,,0
45878,2015,MARKETAXESS HLDGS INC,"Finance, Insurance, And Real Estate",0.218742669,,0
53447,2013,C B O E GLOBAL MARKETS INC; C B O E HOLDINGS INC,"Finance, Insurance, And Real Estate",0.398558388,,0
26080,2013,TYLER TECHNOLOGIES INC; TYLER CORP DE,Services,0.087968629,,0
52301,2016,INSULET CORP,Manufacturing,-0.06324141,,0
53447,2016,C B O E GLOBAL MARKETS INC; C B O E HOLDINGS INC,"Finance, Insurance, And Real Estate",0.389664614,,0
45879,2016,MONOLITHIC PWR SYS INC,Manufacturing,0.103144821,,0
46846,2013,BUILDERS FIRSTSOURCE INC,Manufacturing,-0.082760319,,0
45379,2013,DOMINOS PIZZA INC,Retail Trade,0.27222016,,0
45878,2016,MARKETAXESS HLDGS INC,"Finance, Insurance, And Real Estate",0.238943114,,0
55229,2015,ETSY INC,Services,-0.097752328,,0
26080,2014,TYLER TECHNOLOGIES INC; TYLER CORP DE,Services,0.102686147,,0
45878,2017,MARKETAXESS HLDGS INC,"Finance, Insurance, And Real Estate",0.254784664,,0
46846,2014,BUILDERS FIRSTSOURCE INC,Manufacturing,0.031128605,,0
54139,2013,PALO ALTO NETWORKS INC,Services,-0.049941428,,0
53983,2014,EPAM SYSTEMS INC,Services,0.117235609,,0
45379,2014,DOMINOS PIZZA INC,Retail Trade,0.262541984,,0
30033,2013,INCYTE CORP; INCYTE GENOMICS INC; INCYTE PHARMACEUTICALS INC,Manufacturing,-0.132069927,,0
45879,2017,MONOLITHIC PWR SYS INC,Manufacturing,0.099917403,,0
31661,2014,FACTSET RESEARCH SYSTEMS INC,Services,0.318967389,,0
31661,2013,FACTSET RESEARCH SYSTEMS INC,Services,0.287797542,,0
45878,2018,MARKETAXESS HLDGS INC,"Finance, Insurance, And Real Estate",0.24851518,,0
45379,2016,DOMINOS PIZZA INC,Retail Trade,0.299706127,,0
41562,2018,AXON ENTERPRISE INC; TASER INTERNATIONAL INC,Manufacturing,0.040588431,,0
31661,2015,FACTSET RESEARCH SYSTEMS INC,Services,0.327216627,,0
21530,2013,ROLLINS INC; ROLLINS BROADCASTING INC,Services,0.166838696,,0
10107,2013,BIO TECHNE CORP; TECHNE CORP,Manufacturing,0.144661726,,0
53983,2015,EPAM SYSTEMS INC,Services,0.108480533,,0
45879,2018,MONOLITHIC PWR SYS INC,Manufacturing,0.132674256,,0
54812,2014,PAYCOM SOFTWARE INC,Services,0.007088124,,0
45379,2015,DOMINOS PIZZA INC,Retail Trade,0.24103295,,0
21530,2014,ROLLINS INC; ROLLINS BROADCASTING INC,Services,0.170342085,,0
54907,2014,ARISTA NETWORKS INC,Manufacturing,0.107086975,,0
52301,2017,INSULET CORP,Manufacturing,-0.032851175,,0
14046,2013,POOL CORP; S C P POOL CORP,Wholesale Trade,0.118153202,,0
30033,2014,INCYTE CORP; INCYTE GENOMICS INC; INCYTE PHARMACEUTICALS INC,Manufacturing,-0.058405988,,0
41154,2013,ALIGN TECHNOLOGY INC,Manufacturing,0.077263993,,0
45379,2017,DOMINOS PIZZA INC,Retail Trade,0.3321231,,0
41562,2019,AXON ENTERPRISE INC; TASER INTERNATIONAL INC,Manufacturing,0.001042998,,0
21530,2015,ROLLINS INC; ROLLINS BROADCASTING INC,Services,0.178488347,,0
10107,2014,BIO TECHNE CORP; TECHNE CORP,Manufacturing,0.128636705,,0
54812,2015,PAYCOM SOFTWARE INC,Services,0.023888737,,0
14046,2014,POOL CORP; S C P POOL CORP,Wholesale Trade,0.123963953,,0
46559,2017,DEXCOM INC,Manufacturing,-0.055524831,,0
45379,2018,DOMINOS PIZZA INC,Retail Trade,0.398917769,,0
21530,2016,ROLLINS INC; ROLLINS BROADCASTING INC,Services,0.182609995,,0
15506,2013,QORVO INC; R F MICRO DEVICES INC,Manufacturing,0.013736646,,0
53983,2016,EPAM SYSTEMS INC,Services,0.107220588,,0
52301,2018,INSULET CORP,Manufacturing,0.003544572,,0
14046,2015,POOL CORP; S C P POOL CORP,Wholesale Trade,0.137041401,,0
